JOB_ID,Agency,Posting_Type,Number_Of_Positions,Civil_Service_Title,Job_Category,Full_Time_Part_Time_Indicator,Career_Level,Salary_Range_From,Salary_Range_To,Salary_Frequency,Work_Location,Posting_Date
572056,DEPT OF ENVIRONMENT PROTECTION,Internal,1,CITY RESEARCH SCIENTIST,"Engineering, Architecture, & Planning",F,Manager,84468,111003,Annual,96-05 Horace Harding Expway,3/28/2023
705585,BRONX DISTRICT ATTORNEY,Internal,1,COMMUNITY ASSOCIATE,"Communications & Intergovernmental Affairs Legal Affairs Policy, Research & Analysis",F,Experienced (non-manager),53045,53045,Annual,198 E161St Street Bronx N.Y.,3/6/2025
614773,DEPT OF ENVIRONMENT PROTECTION,Internal,1,ASSOCIATE PROJECT MANAGER,"Engineering, Architecture, & Planning Public Safety, Inspections, & Enforcement",F,Experienced (non-manager),98470,133496,Annual,"71 Smith Avenue, Kingston, Ny",12/13/2023
614691,DEPT OF ENVIRONMENT PROTECTION,External,1,ADMINISTRATIVE CONSTRUCTION PR,"Engineering, Architecture, & Planning Public Safety, Inspections, & Enforcement",F,Manager,80931,208826,Annual,"465 Columbus Ave. Valhalla, Ny",11/27/2023
631762,HRA/DEPT OF SOCIAL SERVICES,External,1,PRINCIPAL ADMINISTRATIVE ASSOC,Constituent Services & Community Programs Communications & Intergovernmental Affairs Social Services,F,Experienced (non-manager),64137,73758,Annual,375 Pearl Street,3/29/2024
599667,DEPARTMENT OF CORRECTION,Internal,1,CITY MEDICAL DIRECTOR,Health,F,Experienced (non-manager),195000,225000,Annual,59-17 Junction Blvd Corona Ny,8/21/2023
711902,DEPT OF HEALTH/MENTAL HYGIENE,External,2,SR HEALTHCARE PROG PLAN ANLYST,Health,F,Experienced (non-manager),63732,63732,Annual,90-27 Parsons Boulevard,4/23/2025
708843,DEPT OF DESIGN & CONSTRUCTION,Internal,1,ARCHITECT,"Engineering, Architecture, & Planning",F,Experienced (non-manager),76262,94146,Annual,30-30 Thomson Ave L I City Qns,4/15/2025
700519,ADMIN TRIALS AND HEARINGS,External,2,AGENCY ATTORNEY,Legal Affairs,F,Experienced (non-manager),103055,103055,Annual,NYC - All Boroughs,1/30/2025
687012,DEPT OF ENVIRONMENT PROTECTION,External,1,IT SECURITY SPECIALIST,"Technology, Data & Innovation",F,Experienced (non-manager),75000,180000,Annual,59-17 Junction Blvd Corona Ny,11/19/2024
702068,MAYORS OFFICE OF CONTRACT SVCS,Internal,1,COLLEGE AIDE (ALL CITY DEPTS),"Administration & Human Resources Constituent Services & Community Programs Communications & Intergovernmental Affairs Finance, Accounting, & Procurement Technology, Data & Innovation Legal Affairs Policy, Research & Analysis",F,Student,17,17,Hourly,255 Greenwich Street,3/7/2025
714826,HOUSING PRESERVATION & DVLPMNT,Internal,1,ASSOCIATE HOUSING DEVELOPMENT,"Engineering, Architecture, & Planning",F,Experienced (non-manager),100000,100000,Annual,100 Gold Street,5/15/2025
711286,HRA/DEPT OF SOCIAL SERVICES,Internal,1,PRINCIPAL ADMINISTRATIVE ASSOC,Administration & Human Resources Social Services,F,Experienced (non-manager),59715,68672,Annual,4 World Trade Center,4/16/2025
715041,DEPARTMENT OF TRANSPORTATION,External,4,TRAFFIC DEVICE MAINTAINER,"Public Safety, Inspections, & Enforcement",F,Entry-Level,57758,75459,Annual,"58-50 57 Road, Maspeth, N.Y.",5/21/2025
696667,DEPARTMENT OF TRANSPORTATION,Internal,1,TRANSPORTATION SPECIALIST,"Engineering, Architecture, & Planning Policy, Research & Analysis",F,Experienced (non-manager),84018,123141,Annual,55 Water St Ny Ny,1/7/2025
711648,DEPT OF HEALTH/MENTAL HYGIENE,Internal,1,COMMUNITY COORDINATOR,Mental Health,F,Experienced (non-manager),60889,72298,Annual,42-09 28th Street,4/28/2025
711464,DEPT OF HEALTH/MENTAL HYGIENE,Internal,1,TELECOMMUNICATIONS ASSOCIATE (,"Technology, Data & Innovation",F,Experienced (non-manager),81784,88684,Annual,42-09 28th Street,4/17/2025
563844,DEPT OF ENVIRONMENT PROTECTION,External,1,CIVIL ENGINEER,"Engineering, Architecture, & Planning",F,Manager,90114,122168,Annual,96-05 Horace Harding Expway,12/12/2022
698215,DEPT OF HEALTH/MENTAL HYGIENE,External,1,CYBER SECURITY ANALYST,"Health Technology, Data & Innovation",F,Experienced (non-manager),88684,88684,Annual,42-09 28th Street,1/24/2025
706709,DEPT OF YOUTH & COMM DEV SRVS,Internal,2,COMMUNITY COORDINATOR,"Finance, Accounting, & Procurement",F,Experienced (non-manager),60889,94521,Annual,"123 William Street, NY, NY",5/9/2025
634284,DEPT OF ENVIRONMENT PROTECTION,External,1,ADMINISTRATIVE ENGINEER,"Engineering, Architecture, & Planning",F,Manager,78721,209971,Annual,154 St. Powells Cove-Whiteston,6/13/2024
552250,DEPT OF ENVIRONMENT PROTECTION,External,1,ADMINISTRATIVE PROJECT MANAGER,"Engineering, Architecture, & Planning",F,Experienced (non-manager),53702,148745,Annual,96-05 Horace Harding Expway,9/30/2022
581069,DEPT OF ENVIRONMENT PROTECTION,Internal,5,ASSISTANT CIVIL ENGINEER,"Engineering, Architecture, & Planning",F,Experienced (non-manager),65640,85646,Annual,59-17 Junction Blvd Corona Ny,4/8/2023
657436,NYC HOUSING AUTHORITY,External,1,STAFF ANALYST,Administration & Human Resources,F,Experienced (non-manager),68262,87426,Annual,LHD - PROJECT BASED UNIT,5/14/2025
702183,DEPT OF HEALTH/MENTAL HYGIENE,Internal,1,CONSULTANT (PUBLIC HEALTH-SOCI,Health,F,Experienced (non-manager),74781,85998,Annual,42-09 28th Street,2/11/2025
711733,DEPT OF ENVIRONMENT PROTECTION,External,1,ASSISTANT ENVIRONMENTAL ENGINE,"Engineering, Architecture, & Planning Public Safety, Inspections, & Enforcement",F,Experienced (non-manager),64242,96395,Annual,96-05 Horace Harding Expway,5/13/2025
703932,DEPT OF DESIGN & CONSTRUCTION,External,1,CIVIL ENGINEER,"Engineering, Architecture, & Planning",F,Experienced (non-manager),90667,104267,Annual,30-30 Thomson Ave L I City Qns,3/5/2025
691060,DEPT OF HEALTH/MENTAL HYGIENE,Internal,1,DIRECTOR OF PUBLIC RELATIONS (,Health,F,Experienced (non-manager),81083,150000,Annual,42-09 28th Street,12/4/2024
687176,DEPT OF ENVIRONMENT PROTECTION,External,1,ADMINISTRATIVE PROJECT MANAGER,"Engineering, Architecture, & Planning Public Safety, Inspections, & Enforcement",F,Experienced (non-manager),60443,167413,Annual,96-05 Horace Harding Expway,12/31/2024
620174,HRA/DEPT OF SOCIAL SERVICES,External,1,ASSOCIATE BENEFITS OPPORTUNITY,Social Services,F,Experienced (non-manager),73213,84195,Annual,"109 E 16Th St., N.Y.",12/19/2023
596617,HRA/DEPT OF SOCIAL SERVICES,Internal,1,CASEWORKER,Social Services,F,Entry-Level,45329,52128,Annual,115 Chrystie Street,8/3/2023
647488,DEPT OF HEALTH/MENTAL HYGIENE,External,1,ECONOMIST,"Finance, Accounting, & Procurement",F,Experienced (non-manager),63043,72499,Annual,42-09 28th Street,2/5/2025
707786,DEPT OF HEALTH/MENTAL HYGIENE,Internal,1,CITY RESEARCH SCIENTIST,"Policy, Research & Analysis",F,Experienced (non-manager),84981,95051,Annual,42-09 28th Street,3/18/2025
698695,DEPT OF HEALTH/MENTAL HYGIENE,Internal,2,CONSULTANT (PUBLIC HEALTH-SOCI,Health Social Services,F,Experienced (non-manager),74781,85998,Annual,NYC - All Boroughs,1/21/2025
703004,HRA/DEPT OF SOCIAL SERVICES,Internal,1,COMPUTER SYSTEMS MANAGER,"Technology, Data & Innovation Social Services",F,Manager,160000,168095,Annual,470 Vanderbilt Ave,2/18/2025
705289,DEPT OF DESIGN & CONSTRUCTION,Internal,1,STAFF ANALYST,Legal Affairs,F,Experienced (non-manager),60549,69631,Annual,30-30 Thomson Ave L I City Qns,3/6/2025
708031,HOUSING PRESERVATION & DVLPMNT,Internal,1,EXECUTIVE AGENCY COUNSEL,Legal Affairs,F,Manager,120000,130000,Annual,100 Gold Street,3/19/2025
634846,DEPT OF ENVIRONMENT PROTECTION,External,1,ASSOCIATE PUBLIC HEALTH SANITA,"Public Safety, Inspections, & Enforcement",F,Experienced (non-manager),66042,75948,Annual,96-05 Horace Harding Expway,6/13/2024
617192,ADMIN FOR CHILDREN'S SVCS,External,17,PROTECTION AGENT (ACS),"Public Safety, Inspections, & Enforcement Social Services",F,Experienced (non-manager),63481,97376,Annual,"150 William Street, New York N",3/15/2024
710793,DEPT OF DESIGN & CONSTRUCTION,Internal,1,CIVIL ENGINEER,"Engineering, Architecture, & Planning",F,Experienced (non-manager),90667,104267,Annual,30-30 Thomson Ave L I City Qns,4/16/2025
554120,DEPT OF ENVIRONMENT PROTECTION,Internal,8,ASSISTANT CHEMICAL ENGINEER (C,"Engineering, Architecture, & Planning",F,Executive,57078,85646,Annual,96-05 Horace Harding Expway,10/5/2022
554402,DEPT OF ENVIRONMENT PROTECTION,External,10,ENVIRONMENTAL ENGINEERING INTE,"Engineering, Architecture, & Planning",F,Entry-Level,51413,59125,Annual,59-17 Junction Blvd Corona Ny,11/16/2022
645884,DEPT OF DESIGN & CONSTRUCTION,Internal,1,COMMUNITY COORDINATOR,Constituent Services & Community Programs,F,Experienced (non-manager),60889,70022,Annual,30-30 Thomson Ave L I City Qns,8/13/2024
715026,HOUSING PRESERVATION & DVLPMNT,External,1,ASSISTANT ARCHITECT,"Engineering, Architecture, & Planning",F,Experienced (non-manager),73878,73878,Annual,100 Gold Street,5/19/2025
629075,DEPARTMENT OF TRANSPORTATION,External,1,ADM ENGINEER (NON MGRL),"Engineering, Architecture, & Planning",F,Experienced (non-manager),58682,159671,Annual,55 Water St Ny Ny,3/7/2024
715191,DISTRICT ATTORNEY-MANHATTAN,External,1,SUMMER COLLEGE INTERN,Administration & Human Resources,F,Entry-Level,17,17.5,Hourly,"40 Worth St., N.Y.",5/22/2025
626064,HRA/DEPT OF SOCIAL SERVICES,Internal,1,ADMINISTRATIVE STAFF ANALYST,Social Services,F,Manager,100000,153107,Annual,375 Pearl Street,2/6/2024
570670,DEPT OF HEALTH/MENTAL HYGIENE,External,1,PUBLIC HEALTH NURSE,Constituent Services & Community Programs Health,F,Experienced (non-manager),84252,84252,Annual,30-30 47TH AVE,1/24/2023
634027,HRA/DEPT OF SOCIAL SERVICES,External,2,ASSOCIATE BENEFITS OPPORTUNITY,Social Services,F,Experienced (non-manager),73213,107616,Annual,"109 E 16Th St., N.Y.",4/19/2024
692867,DEPT OF HEALTH/MENTAL HYGIENE,Internal,2,PUBLIC HEALTH SANITARIAN,"Health Public Safety, Inspections, & Enforcement",F,Experienced (non-manager),51460,51460,Annual,NYC - All Boroughs,12/11/2024
590795,HRA/DEPT OF SOCIAL SERVICES,External,1,ADMINISTRATIVE STAFF ANALYST (,Social Services,F,Manager,94715,125000,Annual,4 World Trade Center,6/22/2023
686161,DEPT OF ENVIRONMENT PROTECTION,Internal,1,ENVIRONMENTAL ENGINEER,"Engineering, Architecture, & Planning Public Safety, Inspections, & Enforcement",F,Experienced (non-manager),76262,110444,Annual,96-05 Horace Harding Expway,12/31/2024
714324,OFFICE OF THE COMPTROLLER,External,1,INVESTMENT MANAGER (COMPTROLLE,"Finance, Accounting, & Procurement",F,Manager,179200,196000,Annual,"1 Centre St., N.Y.",5/12/2025
683454,DEPT OF HEALTH/MENTAL HYGIENE,Internal,1,PUBLIC HEALTH ADVISER,Health,F,Experienced (non-manager),53074,61035,Annual,42-09 28th Street,10/9/2024
693226,DEPT OF DESIGN & CONSTRUCTION,Internal,4,PROJECT MANAGER,"Engineering, Architecture, & Planning",F,Experienced (non-manager),64242,73878,Annual,30-30 Thomson Ave L I City Qns,12/16/2024
705620,FINANCIAL INFO SVCS AGENCY,Internal,1,IT SECURITY SPECIALIST,"Technology, Data & Innovation",F,Experienced (non-manager),100000,111000,Annual,5 Manhattan West,3/5/2025
713717,DISTRICT ATTORNEY-MANHATTAN,Internal,1,COMMUNITY ASSOCIATE,"Technology, Data & Innovation Legal Affairs",F,Entry-Level,54956,54956,Annual,"80 Centre St., N.Y.",5/6/2025
699242,DEPT OF ENVIRONMENT PROTECTION,External,3,SUMMER GRADUATE INTERN,"Legal Affairs Policy, Research & Analysis",F,Student,18.5,18.5,Hourly,59-17 Junction Blvd Corona Ny,2/20/2025
708477,DEPT OF ENVIRONMENT PROTECTION,Internal,1,WATERSHED MAINTAINER,Building Operations & Maintenance,F,Entry-Level,46183,67550,Annual,"465 Columbus Ave. Valhalla, Ny",3/28/2025
711103,DISTRICT ATTORNEY-MANHATTAN,Internal,1,CHIEF INVESTIGATING ACCOUNTANT,Mental Health Legal Affairs Social Services,F,Executive,90000,120000,Annual,"1 Hogan Pl./100 Centre St., N.",4/24/2025
700182,NYC HOUSING AUTHORITY,Internal,1,AGENCY ATTORNEY,Administration & Human Resources,F,Experienced (non-manager),80387,108156,Annual,Corporate Secretary,2/11/2025
707643,DEPT OF HEALTH/MENTAL HYGIENE,Internal,1,PUBLIC HEALTH ADVISER,Health,F,Experienced (non-manager),44003,56826,Annual,42-09 28th Street,3/18/2025
638183,DEPARTMENT OF TRANSPORTATION,External,1,CIVIL ENGINEERING INTERN,"Engineering, Architecture, & Planning",F,Experienced (non-manager),56181,68034,Annual,55 Water St Ny Ny,6/12/2024
639515,HRA/DEPT OF SOCIAL SERVICES,Internal,1,CLERICAL ASSOCIATE,Administration & Human Resources Social Services,F,Experienced (non-manager),35895,53478,Annual,"900 Sheridan Ave., Bronx",7/1/2024
712978,HOUSING PRESERVATION & DVLPMNT,External,1,AGENCY ATTORNEY,Legal Affairs,F,Experienced (non-manager),92446,92446,Annual,100 Gold Street,4/30/2025
644978,DEPARTMENT OF TRANSPORTATION,External,3,INVESTIGATOR,"Building Operations & Maintenance Public Safety, Inspections, & Enforcement",F,Entry-Level,66114,74549,Annual,55 Water St Ny Ny,8/6/2024
711372,OFFICE OF MANAGEMENT & BUDGET,Internal,1,BUDGET ANALYST (OMB),"Finance, Accounting, & Procurement Policy, Research & Analysis",F,Experienced (non-manager),117935,117935,Annual,255 Greenwich Street,4/17/2025
554377,DEPT OF ENVIRONMENT PROTECTION,External,8,ENVIRONMENTAL ENGINEERING INTE,"Engineering, Architecture, & Planning",F,Entry-Level,51413,59125,Annual,59-17 Junction Blvd Corona Ny,10/25/2022
540287,DEPT OF ENVIRONMENT PROTECTION,External,1,MACHINIST,Building Operations & Maintenance,F,Entry-Level,37.28,37.28,Hourly,59-17 Junction Blvd Corona Ny,7/16/2022
704105,DEPT OF DESIGN & CONSTRUCTION,External,1,COMMUNITY COORDINATOR,"Engineering, Architecture, & Planning",F,Experienced (non-manager),60889,80856,Annual,30-30 Thomson Ave L I City Qns,3/6/2025
694824,DEPT OF DESIGN & CONSTRUCTION,Internal,1,ADMINISTRATIVE PROJECT MANAGER,"Engineering, Architecture, & Planning",F,Experienced (non-manager),73068,148387,Annual,30-30 Thomson Ave L I City Qns,1/7/2025
625469,HRA/DEPT OF SOCIAL SERVICES,Internal,2,COMPUTER SPECIALIST (SOFTWARE),"Technology, Data & Innovation",F,Experienced (non-manager),100743,115854,Annual,15 Metrotech,1/31/2024
699481,DEPT. OF HOMELESS SERVICES,Internal,1,COMMUNITY COORDINATOR,Constituent Services & Community Programs Social Services,F,Entry-Level,60889,70022,Annual,"39 Auburn Pl, Brooklyn",3/24/2025
713836,DEPT OF HEALTH/MENTAL HYGIENE,External,1,PUBLIC HEALTH SANITARIAN,Health,F,Experienced (non-manager),51460,51460,Annual,NYC - All Boroughs,5/7/2025
540908,DEPT OF ENVIRONMENT PROTECTION,Internal,1,CITY RESEARCH SCIENTIST,"Engineering, Architecture, & Planning",F,Experienced (non-manager),84468,111003,Annual,96-05 Horace Harding Expway,7/25/2022
707860,DEPT OF HEALTH/MENTAL HYGIENE,External,1,COMMUNITY COORDINATOR,Constituent Services & Community Programs,F,Experienced (non-manager),60889,85000,Annual,161-169 East 110 Street,3/19/2025
713146,HUMAN RIGHTS COMMISSION,Internal,1,HUMAN RIGHTS SPECIALIST (PR#99,Constituent Services & Community Programs,F,Experienced (non-manager),55567,63902,Annual,1932 Arthur Ave 2Nd Flr Bronx,4/30/2025
715577,BRONX DISTRICT ATTORNEY,External,2,COMMUNITY ASSOCIATE,"Technology, Data & Innovation",F,Experienced (non-manager),60246,60246,Annual,"260 E 161st St., Brx",5/23/2025
698164,DEPT OF DESIGN & CONSTRUCTION,Internal,2,COMMUNITY COORDINATOR,Administration & Human Resources,F,Experienced (non-manager),60889,84635,Annual,30-30 Thomson Ave L I City Qns,1/28/2025
686329,DEPT OF HEALTH/MENTAL HYGIENE,External,1,MACHINIST,Health,F,Experienced (non-manager),335.68,390.72,Daily,"455 First Ave., N.Y.",10/29/2024
715371,BRONX DISTRICT ATTORNEY,External,1,COMMUNITY COORDINATOR,Legal Affairs,F,Experienced (non-manager),75000,75000,Annual,198 E161St Street Bronx N.Y.,5/21/2025
711784,DEPT OF HEALTH/MENTAL HYGIENE,Internal,1,COMMUNITY COORDINATOR,"Policy, Research & Analysis",F,Experienced (non-manager),60889,60889,Annual,30-30 47TH AVE,4/22/2025
708553,DEPT OF DESIGN & CONSTRUCTION,External,1,ASSOCIATE PROJECT MANAGER,"Engineering, Architecture, & Planning",F,Experienced (non-manager),84018,96621,Annual,30-30 Thomson Ave L I City Qns,3/26/2025
699700,DEPT OF DESIGN & CONSTRUCTION,Internal,1,PRINCIPAL ADMINISTRATIVE ASSOC,"Administration & Human Resources Engineering, Architecture, & Planning",F,Experienced (non-manager),59715,68672,Annual,30-30 Thomson Ave L I City Qns,2/25/2025
639560,DEPT OF HEALTH/MENTAL HYGIENE,External,1,PUBLIC HEALTH NURSE,Health,F,Experienced (non-manager),92064,92064,Annual,"120-34 Queens Blvd, Kew Garden",6/28/2024
635199,DEPARTMENT OF TRANSPORTATION,Internal,1,RESEARCH ASSISTANT,Legal Affairs,F,Experienced (non-manager),27.1702,41.1138,Hourly,59 Maiden Lane,5/16/2024
701945,DEPT OF HEALTH/MENTAL HYGIENE,Internal,1,CITY RESEARCH SCIENTIST,"Finance, Accounting, & Procurement",F,Experienced (non-manager),84981,84981,Annual,42-09 28th Street,2/10/2025
714761,DEPT OF DESIGN & CONSTRUCTION,Internal,1,ASSOCIATE COMMISSIONER (DDC),"Finance, Accounting, & Procurement",F,Executive,103355,228631,Annual,30-30 Thomson Ave L I City Qns,5/15/2025
708826,DEPT OF DESIGN & CONSTRUCTION,Internal,1,ACCOUNTANT,"Finance, Accounting, & Procurement",F,Experienced (non-manager),63043,72499,Annual,30-30 Thomson Ave L I City Qns,3/28/2025
702872,DEPT OF ENVIRONMENT PROTECTION,External,1,SUMMER COLLEGE INTERN,"Engineering, Architecture, & Planning Policy, Research & Analysis",F,Student,16.88,16.88,Hourly,"465 Columbus Ave. Valhalla, Ny",2/18/2025
684916,DEPT OF ENVIRONMENT PROTECTION,External,1,ASSISTANT MECHANICAL ENGINEER,"Engineering, Architecture, & Planning Public Safety, Inspections, & Enforcement",F,Experienced (non-manager),64242,96395,Annual,96-05 Horace Harding Expway,12/31/2024
683678,DEPT OF ENVIRONMENT PROTECTION,Internal,1,ENVIRONMENTAL ENGINEERING INTE,"Engineering, Architecture, & Planning Public Safety, Inspections, & Enforcement",F,Entry-Level,57866,70075,Annual,96-05 Horace Harding Expway,11/6/2024
684798,TAXI & LIMOUSINE COMMISSION,Internal,1,CYBER SECURITY ANALYST,"Technology, Data & Innovation",F,Experienced (non-manager),88684,104334,Annual,"33 Beaver St, New York Ny",10/16/2024
710116,DEPARTMENT OF CORRECTION,External,1,DIRECTOR OF PUBLIC AFFAIRS,"Administration & Human Resources Communications & Intergovernmental Affairs Policy, Research & Analysis",F,Manager,120000,150000,Annual,75-20 Astoria Blvd,4/7/2025
709693,DISTRICT ATTORNEY RICHMOND COU,External,1,COMMUNITY ASSOCIATE,Social Services,F,Experienced (non-manager),60000,65000,Annual,"130 Stuyvesant Place, S.I.",4/2/2025
705251,OFFICE OF EMERGENCY MANAGEMENT,External,1,EMERGENCY PREPARDNESS MANAGER,"Administration & Human Resources Communications & Intergovernmental Affairs Technology, Data & Innovation Policy, Research & Analysis",F,Manager,100361,107711,Annual,165 Cadman Plaza East,5/8/2025
688744,DEPT OF DESIGN & CONSTRUCTION,External,1,CIVIL ENGINEERING INTERN,"Engineering, Architecture, & Planning",F,Entry-Level,57866,66546,Annual,30-30 Thomson Ave L I City Qns,11/20/2024
637616,DEPT OF ENVIRONMENT PROTECTION,External,1,ADMINISTRATIVE PROJECT MANAGER,"Engineering, Architecture, & Planning Public Safety, Inspections, & Enforcement",F,Manager,81083,216270,Annual,"71 Smith Avenue, Kingston, Ny",7/30/2024
714931,DEPARTMENT OF BUILDINGS,External,1,AGENCY ATTORNEY,Legal Affairs,F,Experienced (non-manager),92525,106404,Annual,"280 Broadway, 7th Floor, N.Y.",5/16/2025
686163,DEPT OF ENVIRONMENT PROTECTION,External,1,MECHANICAL ENGINEER,"Engineering, Architecture, & Planning Public Safety, Inspections, & Enforcement",F,Experienced (non-manager),76262,110444,Annual,96-05 Horace Harding Expway,12/31/2024
701709,CIVILIAN COMPLAINT REVIEW BD,Internal,1,AGENCY ATTORNEY,"Legal Affairs Policy, Research & Analysis Public Safety, Inspections, & Enforcement",F,Experienced (non-manager),71163,108641,Annual,"100 Church St., N.Y.",3/4/2025
697916,DEPT OF HEALTH/MENTAL HYGIENE,Internal,1,NURSE PRACTITIONER(DEPT HEALTH,Health,P,Experienced (non-manager),44.647,68.5227,Hourly,NYC - All Boroughs,1/13/2025
709136,BRONX DISTRICT ATTORNEY,Internal,10,ASSISTANT DISTRICT ATTORNEY (S,"Legal Affairs Public Safety, Inspections, & Enforcement",F,Experienced (non-manager),97000,178000,Annual,198 E161St Street Bronx N.Y.,3/27/2025
634461,HOUSING PRESERVATION & DVLPMNT,Internal,1,COMMUNITY COORDINATOR,"Public Safety, Inspections, & Enforcement",F,Experienced (non-manager),67983,67983,Annual,100 Gold Street,4/25/2024
708851,DEPT OF DESIGN & CONSTRUCTION,Internal,1,ASSOCIATE PROJECT MANAGER,"Engineering, Architecture, & Planning",F,Experienced (non-manager),84018,96621,Annual,30-30 Thomson Ave L I City Qns,3/27/2025
633030,HRA/DEPT OF SOCIAL SERVICES,External,1,PRINCIPAL ADMINISTRATIVE ASSOC,Administration & Human Resources,F,Experienced (non-manager),64137,73758,Annual,4 World Trade Center,4/10/2024
556927,DEPT OF ENVIRONMENT PROTECTION,Internal,1,PUBLIC HEALTH SANITARIAN,Health,F,Experienced (non-manager),54377,81225,Annual,"Wards Island, N.Y.",10/25/2022
698136,DEPT OF ENVIRONMENT PROTECTION,External,1,SUMMER GRADUATE INTERN,"Engineering, Architecture, & Planning Technology, Data & Innovation Policy, Research & Analysis",F,Student,18.5,18.5,Hourly,96-05 Horace Harding Expway,2/20/2025
540271,DEPT OF ENVIRONMENT PROTECTION,External,2,INSTRUMENTATION SPECIALIST,Building Operations & Maintenance,F,Entry-Level,53641,55608,Annual,"356 Flushing Ave, Brooklyn",7/16/2022
709326,OFFICE OF EMERGENCY MANAGEMENT,Internal,1,EMERGENCY PREPAREDNESS SPECIAL,Administration & Human Resources,F,Experienced (non-manager),68428,70481,Annual,165 Cadman Plaza East,5/9/2025
712082,HUMAN RIGHTS COMMISSION,External,2,AGENCY ATTORNEY INTERNE,Legal Affairs,F,Entry-Level,72510,83388,Annual,"22 Reade St, Ny",4/22/2025
714091,DEPT OF CITYWIDE ADMIN SVCS,Internal,2,AGENCY ATTORNEY,Legal Affairs,F,Experienced (non-manager),83000,95450,Annual,"1 Centre St., N.Y.",5/8/2025
642680,HRA/DEPT OF SOCIAL SERVICES,External,1,STOCK WORKER,Building Operations & Maintenance,F,Experienced (non-manager),39147,44236,Annual,"260 Eleventh Ave., N.Y.",7/17/2024
714191,TECHNOLOGY & INNOVATION,Internal,1,TELECOMMUNICATION MANAGER,"Technology, Data & Innovation",F,Manager,81083,175000,Annual,2 Metro Tech,5/9/2025
694564,HRA/DEPT OF SOCIAL SERVICES,External,1,CLERICAL ASSOCIATE,Administration & Human Resources,F,Experienced (non-manager),45040,70704,Annual,375 Pearl Street,3/12/2025
694717,DEPT OF HEALTH/MENTAL HYGIENE,External,1,PUBLIC HEALTH NURSE,Health,F,Experienced (non-manager),88959,88959,Annual,30-30 47TH AVE,12/26/2024
688014,HRA/DEPT OF SOCIAL SERVICES,External,1,PRINCIPAL ADMINISTRATIVE ASSOC,Constituent Services & Community Programs Communications & Intergovernmental Affairs Social Services,F,Experienced (non-manager),57976,66672,Annual,4 World Trade Center,11/12/2024
637694,DEPARTMENT OF TRANSPORTATION,External,1,CIVIL ENGINEERING INTERN,"Engineering, Architecture, & Planning",F,Experienced (non-manager),56181,68034,Annual,55 Water St Ny Ny,6/5/2024
709542,DEPT OF HEALTH/MENTAL HYGIENE,Internal,1,CITY RESEARCH SCIENTIST,Health,F,Experienced (non-manager),106117,122034,Annual,42-09 28th Street,4/3/2025
